,State/UT,Rural_Government_Hospitals,Rural_Government_Beds,Urban_Government_Hospitals,Urban_Government_Beds,Last_Updated
0,Andhra Pradesh,193,6480,65,16658,01-01-2017
1,Arunachal Pradesh,208,2136,10,268,31-12-2017
2,Assam,1176,10944,50,6198,31-12-2017
3,Bihar,930,6083,103,5936,31-12-2016
4,Chhattisgarh,169,5070,45,4342,01-01-2016
5,Goa,17,1405,25,1608,31-12-2017
6,Gujarat,364,11715,122,20565,31-12-2016
7,Haryana,609,6690,59,4550,31-12-2016
8,Himachal Pradesh,705,5665,96,6734,31-12-2017
9,Jammu and Kashmir,56,7234,76,4417,30-12-2016
10,Jharkhand,519,5842,36,4942,31-12-2015
11,Karnataka,2471,21072,374,49093,31-12-2017
12,Kerala,981,16865,299,21139,01-01-2017
13,Madhya Pradesh,334,10020,117,18819,01-01-2016
14,Maharashtra,273,12398,438,39048,31-12-2015
15,Manipur,23,730,7,697,01-01-2014
16,Meghalaya,143,1970,14,2487,31-12-2017
17,Mizoram,56,604,34,1393,31-12-2017
18,Nagaland,21,630,15,1250,31-12-2015
19,Odisha,1655,6339,149,12180,31-12-2017
20,Punjab,510,5805,172,12128,31-12-2017
21,Rajasthan,602,21088,150,10760,31-12-2016
22,Sikkim,24,260,9,1300,31-12-2017
23,Tamil Nadu,692,40179,525,37353,31-12-2017
24,Telangana,802,7668,61,13315,31-12-2017
25,Tripura,99,1140,56,3277,31-12-2017
26,Uttar Pradesh,4442,39104,193,37156,31-12-2017
27,Uttarakhand,410,3284,50,5228,31-12-2015
28,West Bengal,1272,19684,294,58882,01-01-2015
29,Andaman and Nicobar Islands,27,575,3,500,31-12-2016
30,Chandigarh,0,0,4,778,31-12-2016
31,Dadra and Nagar Haveli,10,273,1,316,31-12-2017
32,Daman and Diu,5,240,0,0,31-12-2015
33,Delhi,0,0,109,24383,01-01-2015
34,Lakshadweep,9,300,0,0,01-01-2016
35,Pondicherry,3,96,11,3473,01-01-2016
36,All India,19810,279588,3772,431173,0
